liquidation_timestamp,txHash,user_id,last_action_timestamp,last_action_type,liquidation_datetime,last_action_datetime,found_network,block_number
1761831755,0xa8e5f15f90e36332cda79e7087e45de1f487247ddb4ef474d6695709fdac7b61,0xd8d6c693603729fdfed05a8243777ac6cb213508,1761763267.0,liquidationCallHistory,2025-10-30 13:42:35,2025-10-29 18:41:07,Base Mainnet,37521204
1761828723,0xbb13e78bd55c4f8e30bb2026e6e9597af326c6a60ae3f709bfd696e868761377,0x80a7dd43bf57aa72214578dc76857cf369243340,1761753961.0,liquidationCallHistory,2025-10-30 12:52:03,2025-10-29 16:06:01,Base Mainnet,37519688
1761828573,0xc45a34f681ae8c1ec34edd9baebf705f941772f32775651065ffb9d350db684d,0xffc409d0074d411074ff282cb93ed5a2ffcafd76,1760691235.0,liquidationCallHistory,2025-10-30 12:49:33,2025-10-17 08:53:55,Base Mainnet,37519613
1761828121,0xdcec7bfd045455932097c844c7ca0b0d13f3d64a6e793764f2284a859f5a473a,0x5aa7bf0e4b54c4760314d3bf846093c28a8f778d,1760893677.0,liquidationCallHistory,2025-10-30 12:42:01,2025-10-19 17:07:57,Base Mainnet,37519387
1761753961,0x1cbc29ed606a038e477f05b22a1e7a8cd9ccab45415f4564cffd151271162d22,0x80a7dd43bf57aa72214578dc76857cf369243340,1760130835.0,liquidationCallHistory,2025-10-29 16:06:01,2025-10-10 21:13:55,Base Mainnet,37482307
1761722607,0xbc0e389f1eb0713f5114b9ca4be441ca314d6aa632426e2c3b8ba652eb589fe3,0x20d1798b89e93e4433dd289c2910f873cb7ccb94,1749618577.0,liquidationCallHistory,2025-10-29 07:23:27,2025-06-11 05:09:37,Base Mainnet,37466630
1761683565,0xe1b21737333e35edbe1badd28429576a90e7815bb917a6606d8239edb629742e,0x23db246031fd6f4e81b0814e9c1dc0901a18da2d,1760124833.0,liquidationCallHistory,2025-10-28 20:32:45,2025-10-10 19:33:53,Base Mainnet,37447109
1761682785,0x3cc4d4793e746052ad8ca8250cb1b21eed7ad802200f02647e53afd4ded32246,0xe1d61d27691411b760bc6e0d1ddde69985df6f85,1760214721.0,liquidationCallHistory,2025-10-28 20:19:45,2025-10-11 20:32:01,Base Mainnet,37446719
1761598827,0x33dc9599dcadea4fc39abac0e67f23d18cc974799c6b72963ca181f4bd167122,0xa265c12fb99f57f27f43b2b78440a5e7b3acf867,1760131107.0,liquidationCallHistory,2025-10-27 21:00:27,2025-10-10 21:18:27,Base Mainnet,37404740
1761166939,0xa410795c9279ac5ca5bce346e4bb379557da4ddfa1e5128c02478e55f8f7a8e6,0x7648a8661f32b9612eedc33ec71e23d3876474e7,1758803393.0,liquidationCallHistory,2025-10-22 21:02:19,2025-09-25 12:29:53,Base Mainnet,37188796
1761019369,0xb6d16352a32d27fbb2a20c16c333932b0e851c93922eb4af2eb5a31128db3d9d,0xc1ab8632e3f7ff2b62bcfc5c5deba3aaa21799c9,1760424257.0,liquidationCallHistory,2025-10-21 04:02:49,2025-10-14 06:44:17,Base Mainnet,37115011
1760951099,0x6f33592afbae40c9d50a550af55157f57690d31dfe9373289767c4f7eb22b59e,0xd70a1a76b08957657d4451294d2056a278134e3d,1740675117.0,liquidationCallHistory,2025-10-20 09:04:59,2025-02-27 16:51:57,Base Mainnet,37080876
1760696729,0x58ee7aee59817e5b547e3440395d64969ce259ca80c031b3dda4b1179e4d6bee,0x8ab44d0a3adeb224a98cc565f6946a6b4207f83e,1760131015.0,liquidationCallHistory,2025-10-17 10:25:29,2025-10-10 21:16:55,Base Mainnet,36953691
1760696617,0x7367c7c58a5872128c2c7e72497f3b652bf0fff407bf32cafff7ff41ac6731a5,0x1c4e6eb654c8d7ddfb241831cb173b113e817a8c,1760130901.0,liquidationCallHistory,2025-10-17 10:23:37,2025-10-10 21:15:01,Base Mainnet,36953635
1760696069,0x0541ed22ccbf1aa56c3deeab01c1863b1c11dd9ce58a12d1ad94e89586e90234,0x0e71b6ed9bf8cf8b2323c3acb01a150ae50864cb,1760131203.0,liquidationCallHistory,2025-10-17 10:14:29,2025-10-10 21:20:03,Base Mainnet,36953361
1760691235,0x99e6a882f418095baf3ed74962d175d812e9eed60a30e4be6a80f5574259de45,0xffc409d0074d411074ff282cb93ed5a2ffcafd76,1760424497.0,liquidationCallHistory,2025-10-17 08:53:55,2025-10-14 06:48:17,Base Mainnet,36950944
1760691057,0x9214a9ee2a95f1600c042d18c152c66a6c44d51c6e70c332caaf2fbdc5909f67,0xbde2371f80fe75b9763caa653137a9f8afce9977,1741626395.0,liquidationCallHistory,2025-10-17 08:50:57,2025-03-10 17:06:35,Base Mainnet,36950855
1760690921,0x6ca1726c08f7a491c82460ddbdfa4978092476b5214083abff4335328eb8820b,0x1f617fa9fedb7691139c4345b1d311e535f646e3,1740614287.0,liquidationCallHistory,2025-10-17 08:48:41,2025-02-26 23:58:07,Base Mainnet,36950787
