datetime_utc,health_factor
2025-10-02 22:00:00+00:00,8.354768104210183e-05
2025-10-02 23:00:00+00:00,8.346800244444091e-05
2025-10-03 00:00:00+00:00,8.38104661083705e-05
2025-10-03 01:00:00+00:00,8.359325252557637e-05
2025-10-03 02:00:00+00:00,8.362176576684615e-05
2025-10-03 03:00:00+00:00,8.411516928499778e-05
2025-10-03 04:00:00+00:00,8.414459349563312e-05
2025-10-03 05:00:00+00:00,8.40632010154729e-05
2025-10-03 06:00:00+00:00,8.368417403289295e-05
2025-10-03 07:00:00+00:00,8.351772746675419e-05
2025-10-03 08:00:00+00:00,8.336502481264147e-05
2025-10-03 09:00:00+00:00,8.337262715882455e-05
2025-10-03 10:00:00+00:00,8.372316937240007e-05
2025-10-03 11:00:00+00:00,8.39522240182392e-05
2025-10-03 12:00:00+00:00,8.381758492672979e-05
2025-10-03 13:00:00+00:00,8.38341016613243e-05
2025-10-03 14:00:00+00:00,8.379682703285496e-05
2025-10-03 15:00:00+00:00,8.392401385325537e-05
2025-10-03 16:00:00+00:00,8.472617175828185e-05
2025-10-03 17:00:00+00:00,8.48965829335358e-05
2025-10-03 18:00:00+00:00,8.34788147259493e-05
2025-10-03 19:00:00+00:00,8.415795360968137e-05
2025-10-03 20:00:00+00:00,8.447917427289725e-05
2025-10-03 21:00:00+00:00,8.478108445701578e-05
2025-10-03 22:00:00+00:00,8.46815819025294e-05
2025-10-03 23:00:00+00:00,8.476393158489867e-05
2025-10-04 00:00:00+00:00,8.44672684535362e-05
2025-10-04 01:00:00+00:00,8.41809790205609e-05
2025-10-04 02:00:00+00:00,8.372285651013766e-05
2025-10-04 03:00:00+00:00,8.391524103313864e-05
2025-10-04 04:00:00+00:00,8.389905105753922e-05
2025-10-04 05:00:00+00:00,8.399751183230407e-05
2025-10-04 06:00:00+00:00,8.421725790168294e-05
2025-10-04 07:00:00+00:00,8.434170765196028e-05
2025-10-04 08:00:00+00:00,8.409634141141151e-05
2025-10-04 09:00:00+00:00,8.397661353599535e-05
2025-10-04 10:00:00+00:00,8.390847002814626e-05
2025-10-04 11:00:00+00:00,8.386932309525913e-05
2025-10-04 12:00:00+00:00,8.397229803905496e-05
2025-10-04 13:00:00+00:00,8.387617889412523e-05
2025-10-04 14:00:00+00:00,8.413617285869784e-05
2025-10-04 15:00:00+00:00,8.371632485065757e-05
2025-10-04 16:00:00+00:00,8.332374081440659e-05
2025-10-04 17:00:00+00:00,8.351205471241096e-05
2025-10-04 18:00:00+00:00,8.33297269916477e-05
2025-10-04 19:00:00+00:00,8.327591582614054e-05
2025-10-04 20:00:00+00:00,8.352098660567736e-05
2025-10-04 21:00:00+00:00,8.372419577509422e-05
2025-10-04 22:00:00+00:00,8.386417916714565e-05
2025-10-04 23:00:00+00:00,8.3973499519085e-05
2025-10-05 00:00:00+00:00,8.391639158070432e-05
2025-10-05 01:00:00+00:00,8.362915288515494e-05
2025-10-05 02:00:00+00:00,8.3922562342987e-05
2025-10-05 03:00:00+00:00,8.465299661333193e-05
2025-10-05 04:00:00+00:00,8.485587839161433e-05
2025-10-05 05:00:00+00:00,8.559011372302088e-05
2025-10-05 06:00:00+00:00,8.532927807657359e-05
2025-10-05 07:00:00+00:00,8.524954816974489e-05
2025-10-05 08:00:00+00:00,8.613607677790698e-05
2025-10-05 09:00:00+00:00,8.573631887627504e-05
2025-10-05 10:00:00+00:00,8.511613850693981e-05
2025-10-05 11:00:00+00:00,8.491202290230903e-05
